episode,s_0,s_1,s_2,s_3,s_4,s_5,s_6,action,d_0,d_1,d_2,d_3,d_4,d_5
11,0.2721088,0.008826324,3.7926219,5.4836273e-06,300.2249,300.22482,-19.400244,-22.451712,0.004157722,3.7252903e-09,0.021503687,2.3841858e-06,0.07998657,0.08001709
11,0.27626652,0.0088263275,3.8141255,7.867813e-06,300.3049,300.30484,-22.451712,-20.73167,0.0038391948,3.7252903e-09,0.031953096,2.3841858e-06,0.16088867,0.16085815
11,0.2801057,0.008826331,3.8460786,1.0251999e-05,300.4658,300.4657,-20.73167,-20.556688,0.0038067997,2.7939677e-09,-1.3828278e-05,0.0,0.103302,0.103302
11,0.2839125,0.008826334,3.8460648,1.0251999e-05,300.5691,300.569,-20.556688,-7.899627,0.0014628768,-9.313226e-10,0.00633955,0.0,0.08956909,0.08956909
11,0.2853754,0.008826333,3.8524044,1.0251999e-05,300.65866,300.65857,-7.899627,-12.547672,0.0023236573,-9.313226e-10,-0.10265255,-5.4836273e-06,-0.2079773,-0.2079773
11,0.28769904,0.008826332,3.7497518,4.7683716e-06,300.45068,300.4506,-12.547672,-15.233904,0.0028210878,9.313226e-10,0.03167844,-2.3841858e-07,-0.107055664,-0.10702515
11,0.29052013,0.008826333,3.7814302,4.529953e-06,300.34363,300.34357,-15.233904,-16.208601,0.0030016005,9.313226e-10,0.021675348,1.4305115e-06,-0.04031372,-0.04031372
11,0.29352173,0.008826334,3.8031056,5.9604645e-06,300.3033,300.30325,-16.208601,-9.887578,0.0018310249,0.0,0.01180768,1.1920929e-06,-0.012786865,-0.012786865
11,0.29535276,0.008826334,3.8149133,7.1525574e-06,300.29053,300.29047,-9.887578,-13.517903,0.0025033057,9.313226e-10,-0.049135208,-1.66893e-06,-0.14022827,-0.14022827
11,0.29785606,0.008826335,3.765778,5.4836273e-06,300.1503,300.15024,-13.517903,-5.1617193,0.0009558797,-9.313226e-10,0.027614594,2.3841858e-07,-0.059020996,-0.059020996
11,0.29881194,0.008826334,3.7933927,5.722046e-06,300.09128,300.09122,-5.1617193,-29.18328,0.0054043233,1.8626451e-09,-0.07788563,-2.861023e-06,-0.18969727,-0.18966675
11,0.30421627,0.008826336,3.715507,2.861023e-06,299.90158,299.90155,-29.18328,-20.811172,0.0038539171,3.7252903e-09,0.18528676,3.0994415e-06,0.37124634,0.37121582
11,0.30807018,0.00882634,3.9007938,5.9604645e-06,300.27283,300.27277,-20.811172,-19.313402,0.003576547,2.7939677e-09,-0.028022766,3.5762787e-06,0.11532593,0.11532593
11,0.31164673,0.008826342,3.872771,9.536743e-06,300.38815,300.3881,-19.313402,-15.007715,0.0027792156,1.8626451e-09,-0.0018327236,4.7683716e-07,0.0675354,0.0675354
11,0.31442595,0.008826344,3.8709383,1.001358e-05,300.4557,300.45563,-15.007715,-12.625129,0.0023379922,0.0,-0.028404474,-1.9073486e-06,-0.046325684,-0.046325684
11,0.31676394,0.008826344,3.8425338,8.106232e-06,300.40936,300.4093,-12.625129,-22.18783,0.004108846,2.7939677e-09,-0.021217823,-1.9073486e-06,-0.097351074,-0.097351074
